NumberOfEpochs,TrainingLoss
228,0.830307091941668
229,0.8296933770149264
230,0.8290774805953022
231,0.8284595262581704
232,0.8278396425710972
233,0.8272179631490507
234,0.8265946267087785
235,0.825969777118638
236,0.8253435634391879
237,0.8247442021197778
238,0.8241699459966205
239,0.8236123059429049
240,0.8230664715846933
241,0.8225292045300975
242,0.8219982099883179
243,0.8214718417418224
244,0.8209489186197702
245,0.8204285979650717
246,0.8199102855793975
247,0.819393570873799
248,0.8188781798518237
249,0.8183639408225662
250,0.8178507592514178
251,0.8173385992005324
252,0.8168274695424743
253,0.8163174136475078
254,0.8158085016101237
255,0.8153008243395579
256,0.8147944890253916
257,0.8142896156206774
258,0.8137870726375787
259,0.8132949529429954
260,0.8128139957682057
261,0.8123464739181769
262,0.8118888148314836
263,0.811439537923013
264,0.8109975674995796
265,0.8105619153042483
266,0.810131684607775
267,0.8097060986330812
268,0.809284511026104
269,0.8088664010113512
270,0.8084513603288839
271,0.8080390770391161
272,0.8076293191285179
273,0.8072219193988893
274,0.8068167622610887
275,0.8064137725767551
276,0.8060129064449769
277,0.8056141437204075
278,0.805217482012446
279,0.8048229319193863
280,0.8044305132732742
281,0.8040402522011951
282,0.8036521788395111
283,0.8032663255667242
284,0.8028827256454827
285,0.8025014121869487
286,0.8021224173670399
287,0.801745771840204
288,0.8013715043074849
289,0.800999641204824
290,0.8006302064854677
291,0.8002508905238375
292,0.7998545810410655
293,0.7994502895946569
294,0.7990414074961272
295,0.7986175249144334
296,0.7981804635573989
297,0.7977317535519738
298,0.797272669794282
299,0.7968042732474995
300,0.7963274479947746
301,0.7958429327295259
302,0.7953513470389744
303,0.7948532131625626
304,0.7943489739202667
305,0.7938390074429021
306,0.7933236392523293
307,0.7928031521559021
308,0.7922777943461871
309,0.7917477860280965
310,0.7912133248400616
311,0.7906745902890839
312,0.7901317473773045
313,0.7895849495681091
314,0.7890343412102165
315,0.7885006791278144
316,0.7879835081441063
317,0.7874766907804572
318,0.78697674090479
319,0.7864813131022672
320,0.7859887244305661
321,0.7854977376430259
322,0.7850074329315843
323,0.784517122089359
324,0.784055230063105
325,0.7836203453985179
326,0.783184375748385
