NumberOfEpochs,TrainingLoss
191,0.6363727798886039
192,0.6369200639894137
193,0.6374767323821476
194,0.6380313841315499
195,0.6385768983347487
196,0.6391137661812831
197,0.6396424847173976
198,0.6401635480277076
199,0.6406774395673552
200,0.6411846257352898
201,0.6416855506956235
202,0.6421806323884456
203,0.6426702596244573
204,0.6431547901285529
205,0.6436345493831935
206,0.6441098301201696
207,0.6445808923157683
208,0.6450479635567609
209,0.6455112396601981
210,0.6459708854472593
211,0.6464270355886915
212,0.6468797954560067
213,0.6473292419279824
214,0.647775424115962
215,0.6482183639841366
216,0.6486580568523159
217,0.6490944717791363
218,0.6495275518333807
219,0.6499572142704568
220,0.6503833506401435
221,0.6508058268610516
222,0.6512244833063664
223,0.651639134954937
224,0.6520495716709376
225,0.652455558684018
226,0.6528568373495436
227,0.6532531262740889
228,0.6536441228939702
229,0.6540295055931296
230,0.6544089364391333
231,0.6547820646020428
232,0.6551485304983641
233,0.6555079706712705
234,0.6558600233783367
235,0.6562043348108908
236,0.6565405658164647
237,0.6568683989420971
238,0.6571875455660097
239,0.6574977528441083
240,0.6577988101719423
241,0.6580905548570941
242,0.6583728767150102
243,0.6586457213438106
244,0.6589090918984887
245,0.6591630492672232
246,0.6594077106443259
247,0.6596432465869247
248,0.6598698767264799
249,0.6600878643740277
250,0.660297510303813
251,0.6604991460214823
252,0.6606931268205786
253,0.6608798249078677
254,0.6610596228389054
255,0.6612329074562016
256,0.6614000644688875
257,0.6615614737602479
258,0.6617175054615195
259,0.6618685167898841
260,0.6620148496164688
261,0.6621568287070272
262,0.6622947605630379
263,0.6624289327830679
264,0.6625596138622706
265,0.6626870533501874
266,0.6628114822924592
267,0.6629331138893413
268,0.6630521443122604
269,0.6631687536282578
270,0.6632831067904535
271,0.6633953546605901
272,0.6635056350365511
273,0.6636140736640807
274,0.6637207852170407
275,0.6638258742350414
276,0.6639294360108446
277,0.6640315574229094
278,0.6641323177106626
279,0.6642317891919726
280,0.6643300379235428
281,0.6644271243059803
282,0.664523103635953
283,0.6646180266083586
284,0.6647119397716095
285,0.6648048859393741
286,0.6648969045620813
287,0.6649880320614363
288,0.6650783021311388
289,0.6651677460068107
290,0.6652563927079456
291,0.6653442692545967
292,0.6654314008612001
293,0.6655178111098735
294,0.6656035221052203
295,0.6656885546125653
296,0.6657729281813756
297,0.6658566612553861
298,0.6659397712709024
299,0.666022274744516
300,0.6661041873514061
301,0.6661855239952664
302,0.6662662988707578
303,0.6663465255193372
304,0.6664262168791929
305,0.6665053853299503
306,0.6665840427327232
307,0.6666622004907784
308,0.6667398695127851
309,0.666817060298057
310,0.6668937829587559
311,0.6669700472355782
312,0.6670458625191202
313,0.6671212378692364
314,0.6671961820326093
315,0.6672707034587622
316,0.6673448103146387
317,0.6674185104979695
318,0.6674918116495072
319,0.6675647211642785
320,0.6676372462019702
321,0.667709393696511
322,0.6677811703649714
323,0.6678525827158172
324,0.6679236370566146
325,0.6679943395012155
326,0.668064695976508
327,0.6681347122287274
328,0.6682043938294124
329,0.6682737461810192
330,0.668342774522221
331,0.6684114839329391
332,0.668479879339093
333,0.668547965517138
334,0.6686157470983599
335,0.668683228572984
336,0.6687504142940816
337,0.6688173084813088
338,0.6688839152244759
339,0.6689502384869507
340,0.6690162821089392
341,0.6690820498106059
342,0.6691475451950663
343,0.6692127717512575
344,0.6692777328566933
345,0.6693424317800922
346,0.6694068716838986
347,0.6694710556267192
348,0.6695349865656158
349,0.6695986673583398
350,0.6696621007654568
351,0.6697252894523648
352,0.6697882359912496
353,0.6698509428629409
354,0.6699134124586771
355,0.6699756470818095
356,0.6700376489494001
357,0.670099420193785
358,0.6701609628640074
359,0.6702222789272274
